review
This product is absolutely fantastic, exceeded all expectations!
Terrible quality, broke after one day. Never buying again.
Delivery was on time but the product is just okay.
Amazing customer support, resolved my issue instantly!
Very disappointed, the description was misleading.
Great value for money, works perfectly.
The packaging was damaged but the item inside was fine.
Love love love this! Highly recommend to everyone.
Poor quality materials used, not worth the price.
Neutral experience, nothing special to report.
